libraryID	drug	region	Replicate	info	seqBatch
RMB4319	Maltodextrin	BLA	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4320	Maltodextrin	CGC	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4321	Maltodextrin	dorDG	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4322	Maltodextrin	ILC	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4323	Maltodextrin	LConly	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4324	Maltodextrin	mPOA	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4326	Maltodextrin	PLC	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4327	Maltodextrin	Raphe	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4328	Maltodextrin	venDG	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4329	Maltodextrin	BLA	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4330	Maltodextrin	CGC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4331	Maltodextrin	dorDG	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4332	Maltodextrin	ILC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4333	Maltodextrin	LConly	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4334	Maltodextrin	mPOA	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4335	Maltodextrin	NACShell	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4336	Maltodextrin	PLC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4337	Maltodextrin	Raphe	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4338	Maltodextrin	venDG	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4339	Maltodextrin	BLA	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4340	Maltodextrin	CGC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4341	Maltodextrin	dorDG	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4342	Maltodextrin	ILC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4343	Maltodextrin	LConly	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4344	Maltodextrin	mPOA	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4345	Maltodextrin	NACShell	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4346	Maltodextrin	PLC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4347	Maltodextrin	Raphe	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4348	Maltodextrin	venDG	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4349	Maltodextrin	BLA	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4350	Maltodextrin	CGC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4351	Maltodextrin	dorDG	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4352	Maltodextrin	ILC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4353	Maltodextrin	LConly	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4354	Maltodextrin	mPOA	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4356	Maltodextrin	PLC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4357	Maltodextrin	Raphe	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4358	Maltodextrin	venDG	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4359	Maltodextrin	BLA	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4360	Maltodextrin	CGC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4361	Maltodextrin	dorDG	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4362	Maltodextrin	ILC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4363	Maltodextrin	LConly	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4364	Maltodextrin	mPOA	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4365	Maltodextrin	NACShell	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4366	Maltodextrin	PLC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4367	Maltodextrin	Raphe	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4368	Maltodextrin	venDG	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4269	Probiotics	BLA	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4270	Probiotics	CGC	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4271	Probiotics	dorDG	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4272	Probiotics	ILC	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4273	Probiotics	LConly	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4274	Probiotics	mPOA	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4275	Probiotics	NACShell	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4276	Probiotics	PLC	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4277	Probiotics	Raphe	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4278	Probiotics	venDG	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4279	Probiotics	BLA	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4280	Probiotics	CGC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4281	Probiotics	dorDG	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4282	Probiotics	ILC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4283	Probiotics	LConly	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4284	Probiotics	mPOA	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4285	Probiotics	NACShell	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4286	Probiotics	PLC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4287	Probiotics	Raphe	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4288	Probiotics	venDG	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4289	Probiotics	BLA	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4290	Probiotics	CGC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4291	Probiotics	dorDG	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4292	Probiotics	ILC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4293	Probiotics	LConly	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4294	Probiotics	mPOA	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4295	Probiotics	NACShell	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4296	Probiotics	PLC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4297	Probiotics	Raphe	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4298	Probiotics	venDG	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4299	Probiotics	BLA	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4300	Probiotics	CGC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4301	Probiotics	dorDG	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4302	Probiotics	ILC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4303	Probiotics	LConly	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4304	Probiotics	mPOA	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4306	Probiotics	PLC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4307	Probiotics	Raphe	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4308	Probiotics	venDG	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4309	Probiotics	BLA	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4310	Probiotics	CGC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4311	Probiotics	dorDG	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4312	Probiotics	ILC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4313	Probiotics	LConly	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4314	Probiotics	mPOA	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4315	Probiotics	NACShell	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4316	Probiotics	PLC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4317	Probiotics	Raphe	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4318	Probiotics	venDG	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
