libraryID	drug	region	Replicate	info	seqBatch
RMB4139	FT	BLA	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4149	FT	BLA	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4159	FT	BLA	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4169	Bupropion	BLA	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4179	Bupropion	BLA	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4189	Bupropion	BLA	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4199	Bupropion	BLA	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4209	Bupropion	BLA	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4219	Desipramine	BLA	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4229	Desipramine	BLA	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4249	Desipramine	BLA	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4259	Desipramine	BLA	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4269	Probiotics	BLA	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4279	Probiotics	BLA	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4289	Probiotics	BLA	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4299	Probiotics	BLA	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4309	Probiotics	BLA	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4319	Maltodextrin	BLA	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4329	Maltodextrin	BLA	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4339	Maltodextrin	BLA	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4349	Maltodextrin	BLA	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4359	Maltodextrin	BLA	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4369	Control	BLA	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4379	Control	BLA	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4389	Control	BLA	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4399	Control	BLA	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
RMB4409	Control	BLA	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	2
