libraryID	drug	region	Replicate	info	seqBatch
RMB4130	FT	CGC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4140	FT	CGC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4160	FT	CGC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4170	Bupropion	CGC	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4180	Bupropion	CGC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4190	Bupropion	CGC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4200	Bupropion	CGC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4210	Bupropion	CGC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4270	Probiotics	CGC	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4280	Probiotics	CGC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4290	Probiotics	CGC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4300	Probiotics	CGC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4310	Probiotics	CGC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4320	Maltodextrin	CGC	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4330	Maltodextrin	CGC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4340	Maltodextrin	CGC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4350	Maltodextrin	CGC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4360	Maltodextrin	CGC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4370	Control	CGC	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4380	Control	CGC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4390	Control	CGC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4400	Control	CGC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
RMB4410	Control	CGC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	4
