libraryID	drug	region	Replicate	info	seqBatch
RMB4133	FT	ILC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4143	FT	ILC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4153	FT	ILC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4163	FT	ILC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4172	Bupropion	ILC	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4182	Bupropion	ILC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4192	Bupropion	ILC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4202	Bupropion	ILC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4212	Bupropion	ILC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4222	Desipramine	ILC	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4232	Desipramine	ILC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4242	Desipramine	ILC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4252	Desipramine	ILC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4262	Desipramine	ILC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4272	Probiotics	ILC	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4282	Probiotics	ILC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4292	Probiotics	ILC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4302	Probiotics	ILC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4312	Probiotics	ILC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4322	Maltodextrin	ILC	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4332	Maltodextrin	ILC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4342	Maltodextrin	ILC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4352	Maltodextrin	ILC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4362	Maltodextrin	ILC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4372	Control	ILC	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4382	Control	ILC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4392	Control	ILC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4402	Control	ILC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4412	Control	ILC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
