libraryID	drug	region	Replicate	info	seqBatch
RMB4132	FT	LConly	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4142	FT	LConly	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4162	FT	LConly	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	6
RMB4173	Bupropion	LConly	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4183	Bupropion	LConly	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4193	Bupropion	LConly	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4203	Bupropion	LConly	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4213	Bupropion	LConly	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4223	Desipramine	LConly	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4233	Desipramine	LConly	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4243	Desipramine	LConly	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4253	Desipramine	LConly	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4263	Desipramine	LConly	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4273	Probiotics	LConly	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4283	Probiotics	LConly	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4293	Probiotics	LConly	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4303	Probiotics	LConly	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4313	Probiotics	LConly	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4323	Maltodextrin	LConly	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4333	Maltodextrin	LConly	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4343	Maltodextrin	LConly	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4353	Maltodextrin	LConly	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4363	Maltodextrin	LConly	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4373	Control	LConly	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4383	Control	LConly	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4393	Control	LConly	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4403	Control	LConly	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
RMB4413	Control	LConly	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	7
