libraryID	drug	region	Replicate	info	seqBatch
RMB4135	FT	NACShell	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4145	FT	NACShell	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4155	FT	NACShell	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4165	FT	NACShell	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4175	Bupropion	NACShell	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4185	Bupropion	NACShell	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4195	Bupropion	NACShell	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4205	Bupropion	NACShell	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4215	Bupropion	NACShell	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4235	Desipramine	NACShell	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4255	Desipramine	NACShell	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4265	Desipramine	NACShell	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4275	Probiotics	NACShell	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4285	Probiotics	NACShell	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4295	Probiotics	NACShell	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4315	Probiotics	NACShell	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4335	Maltodextrin	NACShell	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4345	Maltodextrin	NACShell	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4365	Maltodextrin	NACShell	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4375	Control	NACShell	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4385	Control	NACShell	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4395	Control	NACShell	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4405	Control	NACShell	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
RMB4415	Control	NACShell	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	9
