libraryID	drug	region	Replicate	info	seqBatch
RMB4136	FT	PLC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4146	FT	PLC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4156	FT	PLC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4176	Bupropion	PLC	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4186	Bupropion	PLC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4196	Bupropion	PLC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4206	Bupropion	PLC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4216	Bupropion	PLC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4226	Desipramine	PLC	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4236	Desipramine	PLC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4246	Desipramine	PLC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4256	Desipramine	PLC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4266	Desipramine	PLC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4276	Probiotics	PLC	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4286	Probiotics	PLC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4296	Probiotics	PLC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4306	Probiotics	PLC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4316	Probiotics	PLC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4326	Maltodextrin	PLC	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4336	Maltodextrin	PLC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4346	Maltodextrin	PLC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4356	Maltodextrin	PLC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4366	Maltodextrin	PLC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4376	Control	PLC	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4386	Control	PLC	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4396	Control	PLC	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4406	Control	PLC	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
RMB4416	Control	PLC	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	10
