libraryID	drug	region	Replicate	info	seqBatch
RMB4137	FT	Raphe	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4147	FT	Raphe	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4157	FT	Raphe	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4167	FT	Raphe	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4177	Bupropion	Raphe	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4187	Bupropion	Raphe	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4197	Bupropion	Raphe	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4207	Bupropion	Raphe	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4217	Bupropion	Raphe	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4227	Desipramine	Raphe	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4237	Desipramine	Raphe	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4247	Desipramine	Raphe	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4257	Desipramine	Raphe	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4267	Desipramine	Raphe	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4277	Probiotics	Raphe	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4287	Probiotics	Raphe	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4297	Probiotics	Raphe	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4307	Probiotics	Raphe	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4317	Probiotics	Raphe	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4327	Maltodextrin	Raphe	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4337	Maltodextrin	Raphe	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4347	Maltodextrin	Raphe	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4357	Maltodextrin	Raphe	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4367	Maltodextrin	Raphe	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4377	Control	Raphe	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4387	Control	Raphe	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4397	Control	Raphe	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4407	Control	Raphe	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
RMB4417	Control	Raphe	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	11
