libraryID	drug	region	Replicate	info	seqBatch
RMB4131	FT	dorDG	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4141	FT	dorDG	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4151	FT	dorDG	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4161	FT	dorDG	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4171	Bupropion	dorDG	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4181	Bupropion	dorDG	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4191	Bupropion	dorDG	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4201	Bupropion	dorDG	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4211	Bupropion	dorDG	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4231	Desipramine	dorDG	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4241	Desipramine	dorDG	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4251	Desipramine	dorDG	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4261	Desipramine	dorDG	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4271	Probiotics	dorDG	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4281	Probiotics	dorDG	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4291	Probiotics	dorDG	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4301	Probiotics	dorDG	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4311	Probiotics	dorDG	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4321	Maltodextrin	dorDG	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4331	Maltodextrin	dorDG	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4341	Maltodextrin	dorDG	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4351	Maltodextrin	dorDG	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4361	Maltodextrin	dorDG	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4371	Control	dorDG	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4381	Control	dorDG	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4401	Control	dorDG	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
RMB4411	Control	dorDG	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	5
