libraryID	drug	region	Replicate	info	seqBatch
RMB4134	FT	mPOA	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4144	FT	mPOA	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4154	FT	mPOA	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4164	FT	mPOA	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4174	Bupropion	mPOA	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4184	Bupropion	mPOA	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4194	Bupropion	mPOA	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4204	Bupropion	mPOA	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4214	Bupropion	mPOA	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4274	Probiotics	mPOA	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4284	Probiotics	mPOA	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4294	Probiotics	mPOA	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4304	Probiotics	mPOA	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4314	Probiotics	mPOA	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4324	Maltodextrin	mPOA	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4334	Maltodextrin	mPOA	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4344	Maltodextrin	mPOA	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4354	Maltodextrin	mPOA	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4364	Maltodextrin	mPOA	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4374	Control	mPOA	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4384	Control	mPOA	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4394	Control	mPOA	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4404	Control	mPOA	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
RMB4414	Control	mPOA	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	8
