libraryID	drug	region	Replicate	info	seqBatch
RMB4138	FT	venDG	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4148	FT	venDG	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4158	FT	venDG	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4168	FT	venDG	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4178	Bupropion	venDG	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4188	Bupropion	venDG	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4198	Bupropion	venDG	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4208	Bupropion	venDG	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4218	Bupropion	venDG	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4228	Desipramine	venDG	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4238	Desipramine	venDG	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4248	Desipramine	venDG	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4258	Desipramine	venDG	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4268	Desipramine	venDG	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4278	Probiotics	venDG	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4288	Probiotics	venDG	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4298	Probiotics	venDG	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4308	Probiotics	venDG	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4318	Probiotics	venDG	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4328	Maltodextrin	venDG	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4338	Maltodextrin	venDG	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4348	Maltodextrin	venDG	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4358	Maltodextrin	venDG	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4368	Maltodextrin	venDG	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4378	Control	venDG	Rep1	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4388	Control	venDG	Rep2	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4398	Control	venDG	Rep3	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4408	Control	venDG	Rep4	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
RMB4418	Control	venDG	Rep5	RB_NSSRI_RNASeq_SMARTSeq2_In-House	12
