Cluster.number	genenames
Cluster 1	Abcd4
Cluster 1	Abhd3
Cluster 1	Ackr3
Cluster 1	Adcy8
Cluster 1	Agpat5
Cluster 1	Arc
Cluster 1	Arhgap4
Cluster 1	Asb6
Cluster 1	Atp5g2
Cluster 1	Atp5g3
Cluster 1	Bc1
Cluster 1	Capn1
Cluster 1	Capn7
Cluster 1	Ccar2
Cluster 1	Ccdc32
Cluster 1	Ccser1
Cluster 1	Celf6
Cluster 1	Cep95
Cluster 1	Ciao1
Cluster 1	Cln5
Cluster 1	Cox7c
Cluster 1	Crhbp
Cluster 1	Ctgf
Cluster 1	Ddx17
Cluster 1	Dhx16
Cluster 1	Dnajb5
Cluster 1	Dusp7
Cluster 1	Eci2
Cluster 1	Eif2ak3
Cluster 1	Elmo3
Cluster 1	Emg1
Cluster 1	Emx2
Cluster 1	Eps15l1
Cluster 1	Fam134c
Cluster 1	Fam227a
Cluster 1	Fastkd1
Cluster 1	Fbxo21
Cluster 1	Fh
Cluster 1	Frs3
Cluster 1	Fut7
Cluster 1	Fut9
Cluster 1	Fxyd6
Cluster 1	Fzd6
Cluster 1	Gbas
Cluster 1	Gfm1
Cluster 1	Gjd2
Cluster 1	Grm5
Cluster 1	Gtf2ird1
Cluster 1	Gtpbp2
Cluster 1	H2afx
Cluster 1	Hist2h4
Cluster 1	Hk3
Cluster 1	Hr
Cluster 1	Hsf1
Cluster 1	Ikbke
Cluster 1	Ints2
Cluster 1	Irf3
Cluster 1	Kbtbd2
Cluster 1	Kcnn2
Cluster 1	Kdelc1
Cluster 1	Kdelr2
Cluster 1	L2hgdh
Cluster 1	Llgl1
Cluster 1	Lmtk2
Cluster 1	LOC102723236
Cluster 1	LOC500594
Cluster 1	LOC502176
Cluster 1	Lpcat4
Cluster 1	Lrrc14b
Cluster 1	Lrrn1
Cluster 1	March3
Cluster 1	Mau2
Cluster 1	Mei4
Cluster 1	Mettl25
Cluster 1	Miat
Cluster 1	Mir124-2
Cluster 1	Mir186
Cluster 1	Mir3064
Cluster 1	Mir344g
Cluster 1	Mir384
Cluster 1	Mir708
Cluster 1	Mir770
Cluster 1	Mogat1
Cluster 1	Mrpl30
Cluster 1	Mtm1
Cluster 1	Myl6b
Cluster 1	Nck2
Cluster 1	Neto1
Cluster 1	Nfib
Cluster 1	Nfxl1
Cluster 1	Nit1
Cluster 1	Nmbr
Cluster 1	Nppc
Cluster 1	Nprl3
Cluster 1	Nptn
Cluster 1	Pcyox1l
Cluster 1	Phlpp2
Cluster 1	Plag1
Cluster 1	Pnpt1
Cluster 1	Poldip3
Cluster 1	Polr3c
Cluster 1	Ppp3r1
Cluster 1	Ppp4c
Cluster 1	Prima1
Cluster 1	Qtrtd1
Cluster 1	Rab9a
Cluster 1	Raf1
Cluster 1	Rap2c
Cluster 1	Rasd1
Cluster 1	Rbbp4
Cluster 1	Rbm3
Cluster 1	Reck
Cluster 1	RGD1307155
Cluster 1	RGD1566401
Cluster 1	Rn45s
Cluster 1	Rpa3
Cluster 1	Rps27
Cluster 1	Rps6kb2
Cluster 1	RragB
Cluster 1	Rsrp1
Cluster 1	Sec61g
Cluster 1	Shd
Cluster 1	Slc10a1
Cluster 1	Slc12a2
Cluster 1	Slc19a2
Cluster 1	Slc22a5
Cluster 1	Slc28a2
Cluster 1	Slc38a6
Cluster 1	Slc9a5
Cluster 1	Slirp
Cluster 1	Snhg4
Cluster 1	Spire2
Cluster 1	Sppl2a
Cluster 1	Srsf5
Cluster 1	Syp
