Geneid,Genename,MDD.dACC.log2FoldChange,MDD.dACC.padj
ENSG00000145416,43525,-0.010473681,0.978176513
ENSG00000186205,43525,-0.041178675,0.823672929
ENSG00000099785,43526,-0.006199226,0.98586951
ENSG00000117791,43526,0.068357591,0.511416109
ENSG00000173926,43527,0.306540976,0.313064042
ENSG00000144583,43528,-0.054941595,0.806380065
ENSG00000198060,43529,-0.062344749,0.66652923
ENSG00000145495,43530,0.014029392,0.972466201
ENSG00000136536,43531,-0.058557398,0.683249886
ENSG00000165406,43532,-0.10756672,0.392064225
ENSG00000139266,43533,0.074071449,0.505380937
ENSG00000183654,43535,0.051485026,0.91325726
ENSG00000180096,43709,0.120511148,0.500260705
ENSG00000168385,43710,-0.098233637,0.576622831
ENSG00000100167,43711,0.058467214,0.661591609
ENSG00000108387,43712,-0.251952162,0.265570429
ENSG00000184702,43713,0.046560538,0.767148279
ENSG00000125354,43714,0.011789822,0.963416963
ENSG00000122545,43715,-0.150418067,0.078758705
ENSG00000164402,43716,-0.089408729,0.285123724
ENSG00000184640,43717,0.028441858,0.910673796
ENSG00000186522,43718,-0.155065545,0.529573117
ENSG00000138758,43719,-0.049624661,0.633523491
ENSG00000121410,A1BG,0.081289376,0.775033857
ENSG00000175899,A2M,-0.380752291,0.133607931
ENSG00000166535,A2ML1,-0.181204755,0.538398038
ENSG00000128274,A4GALT,0.080886946,0.924772208
ENSG00000094914,AAAS,0.035416338,0.888719032
ENSG00000081760,AACS,0.151411823,0.252603388
ENSG00000109576,AADAT,0.040027023,0.82420707
ENSG00000158122,AAED1,0.034483358,0.919140022
ENSG00000103591,AAGAB,-0.00151779,0.99643623
ENSG00000115977,AAK1,0.061384587,0.671375983
ENSG00000087884,AAMDC,-0.13842674,0.485878939
ENSG00000127837,AAMP,0.056224055,0.644558242
ENSG00000129673,AANAT,0.418431082,0.222196148
ENSG00000131043,AAR2,-0.075884343,0.402931982
ENSG00000205002,AARD,-0.009170969,0.993415803
ENSG00000090861,AARS,0.007027351,0.983526705
ENSG00000124608,AARS2,0.015144927,0.937058091
ENSG00000266967,AARSD1,0.122119442,0.492733344
ENSG00000157426,AASDH,-0.027810174,0.924772208
ENSG00000149313,AASDHPPT,-0.067672645,0.909838301
ENSG00000008311,AASS,-0.006631606,0.991773087
ENSG00000275700,AATF,-0.045607898,0.759041288
ENSG00000181409,AATK,0.024477127,0.944642069
ENSG00000183044,ABAT,-0.04489057,0.62948692
ENSG00000165029,ABCA1,-0.053849947,0.900872474
ENSG00000154263,ABCA10,0.018224864,0.96016267
ENSG00000107331,ABCA2,-0.001158881,0.996462389
ENSG00000167972,ABCA3,0.068725578,0.397452138
ENSG00000154265,ABCA5,0.07454322,0.783588632
ENSG00000154262,ABCA6,0.037886821,0.900872474
ENSG00000064687,ABCA7,0.10830703,0.526995185
ENSG00000141338,ABCA8,-0.229195045,0.502557379
ENSG00000154258,ABCA9,-0.0779489,0.683097922
ENSG00000085563,ABCB1,-0.282781038,0.401908261
ENSG00000135776,ABCB10,-0.041856151,0.678384837
ENSG00000115657,ABCB6,0.069124712,0.781592455
ENSG00000131269,ABCB7,-0.050322084,0.692571114
ENSG00000197150,ABCB8,0.048655851,0.690107838
ENSG00000150967,ABCB9,0.028294094,0.88356539
ENSG00000103222,ABCC1,0.046463076,0.660836288
ENSG00000124574,ABCC10,-0.004190422,0.989641638
ENSG00000140798,ABCC12,-0.249056013,0.410220645
ENSG00000125257,ABCC4,0.135281356,0.45644844
ENSG00000114770,ABCC5,0.059252969,0.592258021
ENSG00000091262,ABCC6,-0.027858945,0.963491963
ENSG00000006071,ABCC8,0.025484491,0.936109252
ENSG00000069431,ABCC9,0.020227029,0.975994777
ENSG00000101986,ABCD1,-0.073249905,0.844681545
ENSG00000173208,ABCD2,-0.16946939,0.23429176
ENSG00000117528,ABCD3,-0.087082017,0.546769837
ENSG00000119688,ABCD4,0.201550682,0.08255787
ENSG00000164163,ABCE1,0.037178955,0.939382785
ENSG00000204574,ABCF1,-0.028708625,0.797862371
ENSG00000033050,ABCF2,-0.042285933,0.744399693
ENSG00000161204,ABCF3,0.034768364,0.818442884
ENSG00000160179,ABCG1,0.009197904,0.971009081
ENSG00000118777,ABCG2,-0.699786001,0.022721514
ENSG00000172350,ABCG4,0.11048737,0.442882501
ENSG00000138075,ABCG5,0.26056888,0.237985177
ENSG00000143921,ABCG8,0.307527028,0.102611644
