Geneid,Genename,MDD.sgPFC.log2FoldChange,MDD.sgPFC.padj
ENSG00000145416,43525,0.256746143,0.009028557
ENSG00000186205,43525,-0.037698999,0.556388351
ENSG00000099785,43526,-0.188906645,0.051158243
ENSG00000117791,43526,0.097240403,0.030165674
ENSG00000173926,43527,0.12086651,0.449529891
ENSG00000144583,43528,-0.176887631,0.014018815
ENSG00000198060,43529,0.046102723,0.449251036
ENSG00000145495,43530,0.193714212,0.034957305
ENSG00000136536,43531,0.282512243,0.007972728
ENSG00000165406,43532,-0.117549556,0.069795496
ENSG00000139266,43533,-0.230360612,0.009395161
ENSG00000183654,43535,-0.27518793,0.021130967
ENSG00000180096,43709,-0.188275255,0.081748206
ENSG00000168385,43710,0.050779432,0.611049482
ENSG00000100167,43711,0.078684344,0.264394745
ENSG00000108387,43712,-0.20123687,0.127829533
ENSG00000184702,43713,-0.1700279,0.018293375
ENSG00000125354,43714,0.014289999,0.9177369
ENSG00000122545,43715,0.106757258,0.48975287
ENSG00000164402,43716,-0.113412069,0.01440294
ENSG00000184640,43717,-0.121415796,0.156492174
ENSG00000186522,43718,-0.002233041,0.987247757
ENSG00000138758,43719,0.099635597,0.13730784
ENSG00000121410,A1BG,-0.179838299,0.145460469
ENSG00000175899,A2M,-0.271292157,0.088182189
ENSG00000166535,A2ML1,-0.194715776,0.123911021
ENSG00000128274,A4GALT,0.015216223,0.951685697
ENSG00000094914,AAAS,-0.079515504,0.333379659
ENSG00000081760,AACS,-0.030330045,0.743404767
ENSG00000109576,AADAT,0.10843129,0.088182189
ENSG00000158122,AAED1,-0.038442183,0.746878861
ENSG00000103591,AAGAB,0.164753732,0.085721693
ENSG00000115977,AAK1,0.13787281,0.045154059
ENSG00000087884,AAMDC,-0.001840316,0.984397758
ENSG00000127837,AAMP,-0.094282715,0.157340093
ENSG00000129673,AANAT,-0.154391591,0.466673352
ENSG00000131043,AAR2,-0.101013371,0.089102492
ENSG00000205002,AARD,-0.025173488,0.908697786
ENSG00000090861,AARS,0.014831593,0.86592168
ENSG00000124608,AARS2,-0.147822207,0.009476911
ENSG00000266967,AARSD1,0.011316324,0.935976459
ENSG00000157426,AASDH,0.236663023,0.033571406
ENSG00000149313,AASDHPPT,0.328353659,0.031453425
ENSG00000008311,AASS,0.012904069,0.939450774
ENSG00000275700,AATF,0.010107519,0.874190709
ENSG00000181409,AATK,-0.293911225,0.014285595
ENSG00000183044,ABAT,-0.035909437,0.46635352
ENSG00000165029,ABCA1,-0.138326508,0.416723883
ENSG00000154263,ABCA10,0.168357506,0.138548993
ENSG00000107331,ABCA2,-0.250063876,0.100178274
ENSG00000167972,ABCA3,-0.122742914,0.0388023
ENSG00000154265,ABCA5,0.348848453,0.011058548
ENSG00000154262,ABCA6,0.186347813,0.163483552
ENSG00000064687,ABCA7,-0.295493633,0.044111062
ENSG00000141338,ABCA8,-0.030396805,0.880197784
ENSG00000154258,ABCA9,0.02546636,0.844504466
ENSG00000085563,ABCB1,-0.137442445,0.501709238
ENSG00000135776,ABCB10,-0.120723653,0.011735207
ENSG00000115657,ABCB6,-0.015478268,0.928012195
ENSG00000131269,ABCB7,0.095188728,0.346847163
ENSG00000197150,ABCB8,-0.22861904,0.087788803
ENSG00000150967,ABCB9,-0.199886176,0.008751464
ENSG00000103222,ABCC1,-0.072969519,0.160938023
ENSG00000124574,ABCC10,-0.27783727,0.01413067
ENSG00000140798,ABCC12,-0.197373152,0.200422807
ENSG00000125257,ABCC4,0.169916932,0.037181741
ENSG00000114770,ABCC5,-0.00504906,0.948622378
