Gene_Id	Gene_Symbol	Gene_Description	Disease_Id	DiseaseName	PsychiatricDisorder	Number_of_AbstractsValidated	Number_of_Abstracts	Source_Id	Score	Disease_Number
4852	NPY	neuropeptide Y	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	23	psycur15	1	11
6532	SLC6A4	solute carrier family 6 (neurotransmitter transporter), member 4	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	57	psycur15	1	23
6532	SLC6A4	solute carrier family 6 (neurotransmitter transporter), member 4	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	70	psycur15	1	23
6532	SLC6A4	solute carrier family 6 (neurotransmitter transporter), member 4	umls:C0011581	depressive disorder	Depressive disorders	5	337	psycur15	1	23
6532	SLC6A4	solute carrier family 6 (neurotransmitter transporter), member 4	umls:C0525045	mood disorders	Depressive disorders	5	86	psycur15	1	23
6532	SLC6A4	solute carrier family 6 (neurotransmitter transporter), member 4	umls:C1269683	major depressive disorder	Depressive disorders	5	134	psycur15	1	23
4988	OPRM1	opioid receptor, mu 1	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	57	psycur15	1	8
2555	GABRA2	gamma-aminobutyric acid (GABA) A receptor, alpha 2	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	51	psycur15	1	2
1392	CRH	corticotropin releasing hormone	umls:C0011581	depressive disorder	Depressive disorders	5	68	psycur15	1	10
1312	COMT	catechol-O-methyltransferase	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	55	psycur15	1	12
627	BDNF	brain-derived neurotrophic factor	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	99	psycur15	1	9
627	BDNF	brain-derived neurotrophic factor	umls:C0011581	depressive disorder	Depressive disorders	5	264	psycur15	1	9
217	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	133	psycur15	1	6
126	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	58	psycur15	1	3
125	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	111	psycur15	1	4
2908	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	umls:C0011581	depressive disorder	Depressive disorders	5	55	psycur15	1	7
3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled	umls:C1269683	major depressive disorder	Depressive disorders	5	42	psycur15	1	11
3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	26	psycur15	1	11
775	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	54	psycur15	1	7
288	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	41	psycur15	1	3
1571	CYP2E1	cytochrome P450, family 2, subfamily E, polypeptide 1	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	23	psycur15	1	3
6285	S100B	S100 calcium binding protein B	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	4	4	psycur15	1	7
3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	15	psycur15	1	11
2932	GSK3B	glycogen synthase kinase 3 beta	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	17	psycur15	1	5
4852	NPY	neuropeptide Y	umls:C0011581	depressive disorder	Depressive disorders	5	42	psycur15	1	11
121278	TPH2	tryptophan hydroxylase 2	umls:C1269683	major depressive disorder	Depressive disorders	5	28	psycur15	1	7
1812	DRD1	dopamine receptor D1	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	15	psycur15	1	5
121278	TPH2	tryptophan hydroxylase 2	umls:C0011581	depressive disorder	Depressive disorders	5	37	psycur15	1	7
4729	NDUFV2	NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	10	psycur15	1	3
4524	MTHFR	methylenetetrahydrofolate reductase (NAD(P)H)	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	16	psycur15	1	10
3569	IL6	interleukin 6	umls:C0011581	depressive disorder	Depressive disorders	5	29	psycur15	1	6
4524	MTHFR	methylenetetrahydrofolate reductase (NAD(P)H)	umls:C0011581	depressive disorder	Depressive disorders	5	26	psycur15	1	10
1394	CRHR1	corticotropin releasing hormone receptor 1	umls:C1269683	major depressive disorder	Depressive disorders	5	12	psycur15	1	7
5649	RELN	reelin	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	14	psycur15	1	6
2908	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	18	psycur15	1	7
2289	FKBP5	FK506 binding protein 5	umls:C1269683	major depressive disorder	Depressive disorders	5	16	psycur15	1	8
