Gene names	Transcript names
Vom2r3	NM_001099460
Vom2r2	NM_001099457
Vom2r5	NM_001099462_1
Vom2r6	NM_001099459
Vom2r5	NM_001099462
Raet1l	NM_001013063
Rrlt	NM_001161691
Lrp11	NM_001106217
Pcmt1	NM_013073
Nup43	NM_001128191
Lats1	NM_001134543
Katna1	NM_001004217
Ppil4	NM_001108457
Zc3h12d	NM_001107469
Tab2	NM_001012062
Ust	NM_001108458
Samd5	NM_001108901
Stxbp5	NM_030843
Stxbp5	NM_178345
Stxbp5	NM_178346
Rab32	NM_001108902
Grm1	NM_001114330
Grm1	NM_017011
Shprh	NM_001107470
Fbxo30	NM_001007690
Epm2a	NM_001276762
Utrn	NM_013070
Stx11	NM_001025638
Sf3b5	NM_001126092
Plagl1	NM_012760
Zc2hc1b	NM_001271310
Ltv1	NM_001014157
Phactr2	NM_214458
Fuca2	NM_001004218
Pex3	NM_031350
Adat2	NM_001115028
Aig1	NM_001134425
Hivep2	NM_024137
Vta1	NM_001025640
Gje1	NM_001197092
Nmbr	NM_012799
Olr905	NM_001001355
	NR_046238
LOC310926	NM_001025002
	NR_046238_1
Cited2	NM_053698
Txlnb	NM_001135859
Heca	NM_001107514
Abracl	NM_001099647
Reps1	NM_001106264
Ccdc28a	NM_001037789
Hebp2	NM_001107515
Perp	NM_001106265
Olig3	NM_001106269
Ifngr1	NM_053783
Il22ra2	NM_001003404
Il20ra	NM_001107521
Slc35d3	NM_001107522
Pex7	NM_001034147
Map3k5	NM_001277694
Map7	NM_001198638
Map7	NM_001106270
Bclaf1	NM_001047852
Mtfr2	NM_001290110
Pde7b	NM_080894
Ahi1	NM_001002277
Hbs1l	NM_001011934
Aldh8a1	NM_001191088
Ptprk	NM_001029902
Arhgap18	NM_001170575
Samd3	NM_001172116
Tmem200a	NM_001109135
Smlr1	NM_001195606
Akap7	NM_001001801
Ccnb2	NM_001009470
Arg1	NM_017134
Med23	NM_001277054
Enpp3	NM_019370
Enpp1	NM_053535
Ctgf	NM_022266
Stx7	NM_021869
Taar9	NM_175602
Taar8c	NM_175600
Taar8a	NM_175599
Taar8a	NM_175599_1
Taar7h	NM_175587
Taar7g	NM_175588
Taar7e	NM_175590
Taar7d	NM_175591
Taar7c	NM_001009975
Taar7b	NM_175586
Taar7a	NM_175585
Taar6	NM_175584
Taar5	NM_001009650
Taar4	NM_175583
Taar3	NM_001009532
Taar2	NM_001008512
Taar1	NM_134328
Vnn1	NM_001025623
Vnn3	NM_001109136
	NR_110684
Rps12	NM_031709
Eya4	NM_001271317
Taar8b	NM_175601
Tcf21	NM_001032397
Tbpl1	NM_001127201
Slc2a12	NM_001107451
Sgk1	NM_001193568
Sgk1	NM_001193569
Sgk1	NM_019232
Clvs2	NM_001108459
Trdn	NM_021666
Rnf217	NM_001106204
Tpd52l1	NM_001044295
Hddc2	NM_001108460
Hey2	NM_130417
Hint3	NM_001100825
Hint3	NM_001276433
Trmt11	NM_198051
Cenpw	NM_001246319
Rspo3	NM_001100990
Rnf146	NM_001012060
Echdc1	NM_001007734
Kiaa0408	NM_001144859
Mrpl36	NM_001108879
Lrrc14b	NM_001109333
Ccdc127	NM_198766
Sdha	NM_130428
Pdcd6	NM_001107452
Ahrr	NM_001024285
Exoc3	NM_001024964
Slc9a3	NM_012654
Tppp	NM_001108461
Zdhhc11	NM_001039342
Brd9	NM_001107453
Trip13	NM_001011930
Nkd2	NM_001107454
Slc12a7	NM_001013144
Slc6a19	NM_001039722
Slc6a18	NM_017163
Tert	NM_053423
Clptm1l	NM_001108240
Slc6a3	NM_012694
Lpcat1	NM_001100735
Mrpl36	NM_001108879_1
Irx4	NM_001107330
Irx2	NM_001039505
Irx1	NM_001107331
Med10	NM_001106097
Ube2ql1	NM_001145163
Nsun2	NM_001108403
Srd5a1	NM_017070
Papd7	NM_001107333
Adcy2	NM_031007
Fastkd3	NM_001082574
Mtrr	NM_001039003
LOC680200	NM_001139491
	NR_031835_1
	NR_037334_1
	NR_031838
Ppp1r14c	NM_133425
Iyd	NM_001025000
Plekhg1	NM_001190999
Mthfd1l	NM_001108462
Akap12	NM_057103
Akap12	NM_001033653
Zbtb2	NM_001107460
Rmnd1	NM_001040128
Armt1	NM_001017447
Esr1	NM_012689
Myct1	NM_001106207
Vip	NM_053991
Fbxo5	NM_001106206
Mtrf1l	NM_001025723
Rgs17	NM_001107459
LOC683313	NM_001101007
Oprm1	NM_001304738
Oprm1	NM_001304734
Oprm1	NM_001304740
Oprm1	NM_001304736
Oprm1	NM_001304735
Oprm1	NM_001304733
Oprm1	NM_001304737
	NR_027877
Oprm1	NM_013071
Oprm1	NM_001038599
Oprm1	NM_001038597
Oprm1	NM_001038600
Oprm1	NM_001038601
Ipcef1	NM_001170799
Cnksr3	NM_001012061
Scaf8	NM_139094
Tfb1m	NM_181474
Cldn20	NM_001109394
Nox3	NM_001004216
Tmem242	NM_001144860
Ldhal6b	NM_183334
Zdhhc14	NM_001039343
Snx9	NM_001127637
Synj2	NM_032071
Synj2	NM_001113372
Synj2	NM_001113371
Gtf2h5	NM_001126088
Tulp4	NM_001109137
Tmem181	NM_001130939
Dynlt1	NM_031318
Sytl3	NM_001127560
Ezr	NM_019357
Tagap	NM_001309449
Fndc1	NM_001038615
Sod2	NM_017051
Wtap	NM_001113543
Wtap	NM_001113542
Wtap	NM_001113544
Acat2	NM_001006995
Tcp1	NM_012670
Mrpl18	NM_001106205
Pnldc1	NM_001025724
Mrgprh	NM_001002281
Mas1	NM_012757
Igf2r	NM_012756
Slc22a1	NM_012697
Slc22a2	NM_031584
Slc22a3	NM_019230
Plg	NM_053491
Map3k4	NM_001107456
Agpat4	NM_133406
Park2	NM_020093
Pacrg	NM_001077677
Qk	NM_001115021
Pabpc6	NM_001106208
MGC94891	NM_001044277
Pde10a	NM_022236
T	NM_001106209
T2	NM_001161835
Prr18	NM_001108464
Sft2d1	NM_001008302
Mpc1	NM_133561
Ccr6	NM_001013145
LOC683722	NM_001101008
Rnaset2	NM_001106210
Rps6ka2	NM_057128
Gpr31	NM_001169132
Tcp10b	NM_001107461
Ttll2	NM_001169136
Mllt4	NM_013217
Smok2a	NM_001191619
Vom2r7	NM_001099463
Vom2r9	NM_001099465
Dact2	NM_001107464
Smoc2	NM_001106215
Thbs2	NM_001169138
LOC100125364	NM_001103356
Phf10	NM_001024747
Tcte3	NM_001191559
Dll1	NM_032063
Fam120b	NM_001107466
Psmb1	NM_053590
Tbp	NM_001004198
Pdcd2	NM_031638
Prdm9	NM_001108903
Chd1	NM_001107465
Riok2	NM_001009687
Lix1	NM_001106214
Lnpep	NM_001113403
Lnpep	NM_133574
	NR_031857
	NR_037379
	NR_031805
	NR_031868
LOC688452	NM_001135720
Has1	NM_172323
Fpr1	NM_001106216
Fpr-rs3	NM_001169140
Vom1r6	NM_001009512
Vom1r7	NM_001008907
Vom1r8	NM_001008905
Vom1r13	NM_001167548
Vom1r9	NM_001167547
Vom1r10	NM_001008958
Vom1r14	NM_001008961
Vom1r11	NM_001008955
Vom1r12	NM_001008962
Vom1r11	NM_001008955_1
Vom1r15	NM_001008960
Ppp2r1a	NM_057140
Vom1r19	NM_001008954
Vom1r20	NM_001009506
Vom1r17	NM_001167572
Vom1r111	NM_001009522
Vom1r16	NM_001167549
Zfp51	NM_001107467
Zfp53	NM_001107468
Zfp52	NM_001014158
Vom1r22	NM_001008900
Vom1r23	NM_001008941
Vom2r80	NM_001111321
Zfp40	NM_001168642
Vom2r15	NM_001099490
Vom2r16	NM_001099655
Vom1r110	NM_001008953
Vom1r28	NM_001008966
Vom1r29	NM_001008946
Vom1r109	NM_001009509
Vom1r30	NM_001009511
Vom2r26	NM_001099471
Lilrc2	NM_001100123
Lilrb3	NM_031713
Lilrb3l	NM_001037357
Rps9	NM_031108
Tsen34	NM_001006968
Mboat7	NM_001134978
Rps9	NM_031108_1
Tsen34	NM_001006968_1
Mboat7	NM_001134978_1
Tmc4	NM_001034104
Leng1	NM_001106218
Cnot3	NM_001107471
	NR_037362
Prpf31	NM_001106219
Tfpt	NM_138870
Oscar	NM_001184973
Cacng6	NM_080694
Cacng8	NM_080696
	NR_032758
Cacng7	NM_080695
Prkcg	NM_012628
Myadm	NM_183332
Olr1l	NM_001000538
Olr386	NM_001000856
Nlrp12	NM_001169142
	NR_036047_1
	NR_036045_1
	NR_032761
	NR_032760
	NR_037337
	NR_031939
	NR_031938
