query,entrezgene,name,symbol,alias,taxid,RGD
A2M,24153,alpha-2-macroglobulin,A2m,"A2MAC1, A2m1, A2maa, A2mb, Mam",10116,RGD:2004
ATP6,26197,ATPase subunit 6,ATP6,,10116,RGD:621239
AANAT,25120,aralkylamine N-acetyltransferase,Aanat,"AA-NAT, Nat4",10116,RGD:2006
ABCA1,313210,ATP binding cassette subfamily A member 1,Abca1,,10116,RGD:631344
ABCA13,289797,ATP binding cassette subfamily A member 13,Abca13,,10116,RGD:1305895
ABCB1,170913,ATP binding cassette subfamily B member 1A,Abcb1a,"Abcb1, Mdr1a",10116,RGD:619951
ABCB4,24891,ATP binding cassette subfamily B member 4,Abcb4,"Mdr2, Pgy3",10116,RGD:620248
ABCC9,25560,ATP binding cassette subfamily C member 9,Abcc9,Sur2,10116,RGD:3787
ABCG1,85264,ATP binding cassette subfamily G member 1,Abcg1,Abc8,10116,RGD:620294
ABI3BP,363767,ABI family member 3 binding protein,Abi3bp,RGD1562717,10116,RGD:1562717
ABO,65270,histo-blood group ABO system transferase 3,Abo3,"Abo, Abol1, Gbgt1",10116,RGD:628609
ACADS,64304,acyl-CoA dehydrogenase short chain,Acads,Scad,10116,RGD:620514
ACE,24310,angiotensin I converting enzyme,Ace,"CD143, Dcp1, StsRR92",10116,RGD:2493
ACHE,83817,acetylcholinesterase,Ache,,10116,RGD:69313
ACP1,24161,acid phosphatase 1,Acp1,,10116,RGD:2020
ACSL4,113976,acyl-CoA synthetase long-chain family member 4,Acsl4,"Acs4, Facl4",10116,RGD:69401
ACSL6,117243,acyl-CoA synthetase long-chain family member 6,Acsl6,"Facl6, Lacsl",10116,RGD:69403
ACSM1,361638,acyl-CoA synthetase medium-chain family member 1,Acsm1,Bucs1,10116,RGD:1306813
ACTB,81822,"actin, beta",Actb,Actx,10116,RGD:628837
ACTR2,289820,actin related protein 2,Actr2,,10116,RGD:1310826
ADAM12,679837,ADAM metallopeptidase domain 12,Adam12,,10116,RGD:1583652
ADAMTS12,294809,"ADAM metallopeptidase with thrombospondin type 1 motif, 12",Adamts12,,10116,RGD:1307323
ADAMTSL3,308787,ADAMTS-like 3,Adamtsl3,,10116,RGD:1305155
ADARB1,25367,"adenosine deaminase, RNA-specific, B1",Adarb1,"Adar2, Red1",10116,RGD:2033
ADCY2,81636,adenylate cyclase 2,Adcy2,AC2,10116,RGD:619965
ADCY3,64508,adenylate cyclase 3,Adcy3,,10116,RGD:71009
ADCY5,64532,adenylate cyclase 5,Adcy5,,10116,RGD:71014
