query,entrezgene,name,symbol,alias,taxid,RGD
ABCB11,83569,ATP binding cassette subfamily B member 11,Abcb11,"Bsep, Spgp",10116,RGD:619930
ADCY3,64508,adenylate cyclase 3,Adcy3,,10116,RGD:71009
ADCY9,302950,adenylate cyclase 9,Adcy9,,10116,RGD:1304747
ALPK1,310879,alpha-kinase 1,Alpk1,RGD1304613,10116,RGD:1304613
ANO3,311287,anoctamin 3,Ano3,Tmem16c,10116,RGD:1308873
ARG1,29221,arginase 1,Arg1,,10116,RGD:2150
ASAH1,84431,N-acylsphingosine amidohydrolase 1,Asah1,Asah,10116,RGD:621568
ATP2A1,116601,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1,Atp2a1,Serca1,10116,RGD:621293
BCDIN3D,363001,BCDIN3 domain containing RNA methyltransferase,Bcdin3d,RGD1306433,10116,RGD:1306433
BDNF,24225,brain-derived neurotrophic factor,Bdnf,,10116,RGD:2202
BMPER,300455,BMP-binding endothelial regulator,Bmper,RGD1563373,10116,RGD:1563373
CABP5,365194,calcium binding protein 5,Cabp5,,10116,RGD:1308108
CACUL1,365493,"CDK2-associated, cullin domain 1",Cacul1,RGD1308127,10116,RGD:1308127
CADM2,360687,cell adhesion molecule 2,Cadm2,"Igsf4d, Necl-3, SynCAM 2",10116,RGD:1305678
CAMK1G,171358,calcium/calmodulin-dependent protein kinase IG,Camk1g,,10116,RGD:621800
CARD11,100363332,"caspase recruitment domain family, member 11",Card11,,10116,RGD:2323211
CCDC179,499158,coiled-coil domain containing 179,Ccdc179,RGD1559980,10116,RGD:1559980
CCDC77,312677,coiled-coil domain containing 77,Ccdc77,RGD1310710,10116,RGD:1310710
CCR3,117027,C-C motif chemokine receptor 3,Ccr3,Cmkbr3,10116,RGD:620593
CEP162,300880,centrosomal protein 162,Cep162,"Qn1, RGD1307365",10116,RGD:1307365
CLPB,65041,caseinolytic mitochondrial matrix peptidase chaperone subunit B,Clpb,Skd3,10116,RGD:621328
GPR1,25457,chemerin chemokine-like receptor 2,Cmklr2,Gpr1,10116,RGD:2728
CMYA5,688915,cardiomyopathy associated 5,Cmya5,,10116,
CRACD,289568,capping protein inhibiting regulator of actin dynamics,Cracd,RGD1311575,10116,RGD:1311575
CRISPLD2,171547,cysteine-rich secretory protein LCCL domain containing 2,Crispld2,"Lcrisp2, Lgl1",10116,RGD:620860
CSMD1,364634,CUB and Sushi multiple domains 1,Csmd1,Mdcr1,10116,RGD:1305103
CXCR5,29363,C-X-C motif chemokine receptor 5,Cxcr5,"Blr1, NLR",10116,RGD:62010
DGKG,25666,"diacylglycerol kinase, gamma",Dgkg,"DGK-III, DGKIII, Dagk3",10116,RGD:2499
DNAJC27,298859,DnaJ heat shock protein family (Hsp40) member C27,Dnajc27,Rbj,10116,RGD:1564414
EML6,305610,EMAP like 6,Eml6,"RGD1561023, RGD1561672",10116,RGD:1561672
ERI1,361159,exoribonuclease 1,Eri1,"RGD1308378, Thex1",10116,RGD:1308378
ETV5,303828,ETS variant transcription factor 5,Etv5,,10116,RGD:1309590
EXOC4,116654,exocyst complex component 4,Exoc4,"ALR, Sec8, Sec8l1",10116,RGD:621791
FAIM2,246274,Fas apoptotic inhibitory molecule 2,Faim2,"Lfg, NMP35",10116,RGD:628744
FAM169B,680906,"family with sequence similarity 169, member B",Fam169b,,10116,RGD:1585883
FARS2,306879,"phenylalanyl-tRNA synthetase 2, mitochondrial",Fars2,Fars1,10116,RGD:1309416
FAT1,83720,FAT atypical cadherin 1,Fat1,"Fat, Fath",10116,RGD:621254
FBN2,689008,fibrillin 2,Fbn2,,10116,RGD:620910
FENDRR,104845258,FOXF1 adjacent non-coding developmental regulatory RNA,Fendrr,,10116,RGD:9685086
FHIT,60398,fragile histidine triad diadenosine triphosphatase,Fhit,,10116,RGD:620448
FTO,291905,"FTO, alpha-ketoglutarate dependent dioxygenase",Fto,RGD1305121,10116,RGD:1305121
FXN,499335,frataxin,Fxn,RGD1565754,10116,RGD:1565754
GAS8,361438,growth arrest specific 8,Gas8,,10116,RGD:1307817
GIPR,25024,gastric inhibitory polypeptide receptor,Gipr,"Gippr, RATGIPPR",10116,RGD:2689
GLRA3,114516,"glycine receptor, alpha 3",Glra3,,10116,RGD:621229
GNAT2,365901,G protein subunit alpha transducin 2,Gnat2,,10116,RGD:1309514
GPR139,293545,G protein-coupled receptor 139,Gpr139,,10116,RGD:1311729
GPRC5B,293546,"G protein-coupled receptor, class C, group 5, member B",Gprc5b,,10116,RGD:1309510
HOXB3,303488,homeo box B3,Hoxb3,,10116,RGD:1310780
HOXB5,497987,homeo box B5,Hoxb5,RGD1562292,10116,RGD:1562292
HS6ST3,364476,heparan sulfate 6-O-sulfotransferase 3,Hs6st3,RGD1560050,10116,RGD:1305888
INHBB,25196,inhibin subunit beta B,Inhbb,,10116,RGD:2913
INO80D,316440,INO80 complex subunit D,Ino80d,RGD1304808,10116,RGD:1304808
ITPR3,25679,"inositol 1,4,5-trisphosphate receptor, type 3",Itpr3,"IP3R-3, IP3R3, IP3R3X",10116,RGD:2934
